customer_id,test_accuracy,test_f1,cv_f1
4,0.7567567567567568,0.3076923076923077,0.4115384615384615
18,0.6176470588235294,0.23529411764705882,0.15277777777777776
21,0.7428571428571429,0.18181818181818182,0.1288888888888889
22,0.8,0.36363636363636365,0.33905205905205904
31,0.6388888888888888,0.23529411764705882,0.2685972850678733
36,0.6666666666666666,0.25,0.23645276292335113
37,0.7428571428571429,0.18181818181818182,0.24956521739130433
40,0.7714285714285715,0.2,0.0979020979020979
41,0.6666666666666666,0.3333333333333333,0.3711613876319758
44,0.7222222222222222,0.2857142857142857,0.18058823529411766
48,0.6285714285714286,0.43478260869565216,0.30097883597883596
59,0.8571428571428571,0.0,0.0
67,0.5833333333333334,0.2857142857142857,0.23798384851016427
71,0.6571428571428571,0.0,0.18220551378446115
107,0.6756756756756757,0.0,0.212012987012987
109,0.7058823529411765,0.2857142857142857,0.2031168831168831
119,0.75,0.5263157894736842,0.24925775978407558
12,0.5833333333333334,0.34782608695652173,0.28126492702344097
26,0.8846153846153846,0.4,0.0
38,0.8484848484848485,0.2857142857142857,0.15714285714285714
43,0.8484848484848485,0.2857142857142857,0.35464646464646465
46,0.6944444444444444,0.35294117647058826,0.21255411255411255
56,0.3611111111111111,0.08,0.2259472209936606
57,0.7777777777777778,0.42857142857142855,0.27666666666666667
76,0.7777777777777778,0.3333333333333333,0.205
87,0.6944444444444444,0.26666666666666666,0.21791537667698657
94,0.4722222222222222,0.17391304347826086,0.34360446570972886
104,0.7428571428571429,0.18181818181818182,0.16134453781512606
5,0.6944444444444444,0.0,0.2439962651727358
19,0.45714285714285713,0.09523809523809523,0.14115288220551378
35,0.7428571428571429,0.4,0.2551515151515152
42,0.7777777777777778,0.2,0.08888888888888888
52,0.75,0.18181818181818182,0.24
85,0.6666666666666666,0.0,0.195562435500516
91,0.6388888888888888,0.3157894736842105,0.2037254901960784
101,0.5277777777777778,0.19047619047619047,0.31034886681945506
111,0.6111111111111112,0.3,0.2748307550485409
113,0.7352941176470589,0.0,0.0819047619047619
1,0.4857142857142857,0.25,0.1311111111111111
20,0.896551724137931,0.0,0.0
49,0.71875,0.18181818181818182,0.22000000000000003
50,0.6,0.2222222222222222,0.16468253968253968
60,0.5833333333333334,0.21052631578947367,0.23116138763197586
75,0.9090909090909091,0.0,0.0
95,0.6571428571428571,0.0,0.07833333333333334
96,0.6571428571428571,0.14285714285714285,0.09019607843137255
115,0.6666666666666666,0.3333333333333333,0.2073403720462544
2,0.5833333333333334,0.0,0.1982051282051282
11,0.6764705882352942,0.35294117647058826,0.26190476190476186
27,0.8,0.2857142857142857,0.27272727272727276
32,0.48484848484848486,0.0,0.08186274509803922
58,0.7142857142857143,0.16666666666666666,0.11013431013431015
72,0.8,0.0,0.05714285714285714
80,0.6944444444444444,0.15384615384615385,0.2519674185463659
98,0.8571428571428571,0.0,0.16666666666666666
114,0.5806451612903226,0.13333333333333333,0.19301587301587303
6,0.6774193548387096,0.16666666666666666,0.14153846153846153
13,0.7142857142857143,0.2857142857142857,0.06315789473684211
17,0.5757575757575758,0.0,0.09523809523809523
29,0.7878787878787878,0.46153846153846156,0.23277777777777775
34,0.6470588235294118,0.25,0.22795223352498892
45,0.8235294117647058,0.5714285714285714,0.17487179487179488
64,0.8235294117647058,0.4,0.30208855472013363
116,0.6285714285714286,0.23529411764705882,0.17272727272727273
118,0.5833333333333334,0.21052631578947367,0.07652086475615887
53,0.6571428571428571,0.25,0.3536231884057971
55,0.6470588235294118,0.14285714285714285,0.19402624207577768
73,0.8285714285714286,0.0,0.07272727272727272
92,0.6153846153846154,0.0,0.13
108,0.7058823529411765,0.16666666666666666,0.06666666666666667
7,0.8484848484848485,0.4444444444444444,0.2015873015873016
15,0.8484848484848485,0.0,0.24047619047619045
63,0.5,0.19047619047619047,0.37301587301587297
74,0.8,0.5882352941176471,0.332014652014652
77,0.8787878787878788,0.0,0.0
84,0.5,0.1111111111111111,0.05333333333333333
105,0.5294117647058824,0.1111111111111111,0.10705882352941176
117,0.6,0.125,0.04962406015037594
23,0.7647058823529411,0.0,0.08888888888888888
66,0.9142857142857143,0.0,0.08
97,0.6571428571428571,0.14285714285714285,0.05523809523809524
62,0.5714285714285714,0.2857142857142857,0.25216374269005853
112,0.5714285714285714,0.21052631578947367,0.2689886480908153
3,0.6176470588235294,0.0,0.14055555555555554
25,0.9090909090909091,0.4,0.08333333333333333
33,0.7352941176470589,0.0,0.12571428571428572
54,0.6764705882352942,0.15384615384615385,0.1976998491704374
83,0.7941176470588235,0.0,0.0
90,0.8235294117647058,0.0,0.04
79,0.7586206896551724,0.0,0.18463203463203462
103,0.6363636363636364,0.3333333333333333,0.1972915972915973
106,0.8235294117647058,0.25,0.13333333333333333
61,0.6764705882352942,0.0,0.12380952380952381
120,0.8125,0.0,0.3127272727272727
82,0.53125,0.11764705882352941,0.17357142857142857
14,0.8125,0.0,0.10598290598290598
68,0.7878787878787878,0.0,0.09444444444444444
69,0.7777777777777778,0.0,0.0
81,0.5161290322580645,0.0,0.09444444444444444
100,0.7878787878787878,0.2222222222222222,0.25367965367965367
16,0.8214285714285714,0.2857142857142857,0.31714285714285717
93,0.625,0.0,0.03636363636363636
10,0.7419354838709677,0.0,0.06666666666666667
24,0.6333333333333333,0.0,0.025
86,0.8387096774193549,0.0,0.03636363636363636
102,0.7878787878787878,0.2222222222222222,0.18
39,0.5769230769230769,0.26666666666666666,0.15724275724275724
47,0.8,0.0,0.2038095238095238
110,0.6774193548387096,0.2857142857142857,0.18846447669977082
9,0.8928571428571429,0.0,0.0
30,0.875,0.0,0.05714285714285714
65,0.90625,0.0,0.14909090909090908
99,0.8846153846153846,0.4,0.0
28,0.7931034482758621,0.0,0.0
70,0.8,0.25,0.11636363636363636
51,0.8333333333333334,0.5454545454545454,0.2506493506493507
88,0.7391304347826086,0.0,0.0
8,0.8214285714285714,0.2857142857142857,0.11717171717171718
78,0.7241379310344828,0.2,0.16525252525252526
89,0.8333333333333334,0.0,0.0
